Absolutely!	Absolutely!	0
Their English language means they are drowning in the MLK-esque crap coming out of America .	Their English language means they are drowning in MLK-esque shit coming out of America.	1
Not going to be able to stop for drinks except for the occasional gas station bottled water .	You will not be able to stop for drinks except for the occasional gas station bottled water.	0
I hope people can pass out candy while watching that game .	I hope people can pass on candy while watching that game.	0
Are there any whites left in that craphole or have they all been killed ?	Are there any white people left in that crazy or have they all been killed?	1
PNR by collectivization of industry do you mean the folk who work in say a factory own it themselves or do you mean its owned by the state in the name of all the citizens .	PNR by collectivization of industry do you mean the people who work in say a factory owns it themselves or do you do you say its owned by the state in the name of all the citizens.	0
I see all of your goals being accomplished , especially finding a girl to settle down with .	I see all of your goals being accomplished, especially finding a girl to settle down with.	0
Waiting to buy a new product is almost always a good idea , let someone else experiment .	Waiting to buy a new product is always a good idea, let someone else experiment.	0
These disgusting perverted white men are no different than the white women who have sex with black men just because they have a bigger penis .	These disgusting perverted white men are no different than the White women who have sex with black men just because they have a larger penis.	1
Yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the UK .	Yeah they are buying a lot of houses around my area to probz, so they can house there massive inbred family when they come over to the UK.	1
I've seen that documentary for some time ago , and I suppose that it has been broadcasted in other nordic countries , too .	I have seen that documentary a while ago, and I suppose it has been broadcast in other Nordic countries, too.	0
Just to show all Whites should have one common goal .	Just to show all White should have one common goal.	0
For practice use a .22 LR to learn .	For practice use a.22 LR to learn.	0
Cutback of US aid to Egypt leaves Israel nervous | Fox News	Cutback of US aid to Ukraine leaves Israel nervous Fox News	0
www.natall.com	by www.natal.com	0
The outline for the events for the boys , and their fathers , was interesting .	The outline for the events for the boy, and their fathers, was interesting.	0
It 's amazing how stupid liberals are , even after being nearly murdered for being white Mr. Begley is still a ridiculous * * * * * * -loving fool .	It's amazing how stupid liberals are, even after being murdered for being white Mr. Begley is still a ridiculous * ** * * *-loving fool.	1
Their calling is a world ruled by `` the Chosen '' from Jerusalem .	Their calling is a world ruling by the “Elected” from Jerusalem.	0
All I ask is to PLEASE be careful when responding to threads like this .	All I ask is to please be careful when responding to threads like these.	0
Yeah, but back in the day there were n't that many millions nigs and wetbacks .	Yes, but back in the day there were not that many millions of nigs and wetbacks.	1
FL that 's an old photo of last year .	FL is an old photo from last year.	0
I saw it on friday Thats just about the right impression ( i believe ) one should have about them .	I saw it on Friday That’s just about the right impression (I believe) one should have about them.	0
Whites should not be forced in atheistic view in-kind .	White people should not be forced into atheistic view in kind.	0
Yes I fear that a civil war is our last and only option left in a world ruled by damn antifac 's	Yes, I fear that a civil war is our last and only option left over in a world ruled by damn antifac’s.	0
Than they just sent me another one like a week ago ... it is sitting right in front of me still not filled out .	Than they just sent me another one like a week ago... it’s sitting right in front of me still not filled out.	0
If they do n't find a way to kick out the brown cloud that 's already there the Danish gene pool is lost .	If they don’t find a way to kick out the brown cloud that’s already there the Danish gen pool is lost.	1
I think when they first come into this country they get those type of old cars then after a year or so they move up to brand new cars .	I think when they first come into this country they get those kinds of old cars then after a year or so they move up to brand new car.	0
Yes exactly , as the GREAT was put into GREAT BRITAIN by the likes of these lads and their fathers and forefathers .	Yes exactly, as the Great was put into the UK by the like of these guys and their fathers and ancestors.	0
Hell, if he had been white they would have thrown his ass in jail , suspended him from school , and it would have been all over CNN ABC NBC and CBS .	Hell, if he had been white they would have thrown his ass in jail, suspended him from school, and it would have been all over CNN ABC NBC and CBS.	0
com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .	com/watch? v = kBD6Gm6VodDM Then watch 8 min. Obama at AIPAC @ youtube.	0
They never smile .	They are never smiling.	0
Can a mod also change the thread title so it says the 10th ? dont want people showing up 10 days late	Can a mod also change the thread title so it says 10th? don't want people appearing 10 days late	0
Your white skin did .	Your skin did.	0
If you have good grades , do n't get in trouble , are involved in extracurriculars , and otherwise are a good citizen , probably most teachers are n't going to take time out of their day unless your school is REALLY liberal .	If you have good grades, don’t get in trouble, are involved in extracurricular work, and otherwise are a good citizen, probably most teachers are not going to take time out of their day unless your school is REALLY liberal.	0
We need to spread more videos around Haman : WNTube - YouTube the White Nationalist way ...	We need to spread more videos around the world : WNTube - YouTube the White Nationalist way...	0
What say you of Jotunheim ?	What do you think of Jotunheimer?	0
But the camellia idea is great .	The camellia idea was great.	0
Human Remains Found in Abandoned Hospital - YouTube	Man Remains Found in abandoned hospital - YouTube	0
This time , the charges are assault and battery of a high and aggravated nature and strong armed robbery in connection with the assault on Rose Powell. ( more ... )	This time, the charges are assault and battery of a high and aggravated nature and strong armed robberies in connection with the assaults on Rose Powell.	0
It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr ... n-Jacob-ONeill	It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr... n-Jacob-ONeill	0
I'm taking my College funds and using them to start a self sufficient farm .	I’m taking my College funds and using them for starting a self-sufficient farm.	0
My ancestors who had the good sense and foresight to come and build America .	My ancestors who had the good reason and foresight to come and build America.	0
Okay, that 's good ... maybe they 'll come bursting onto the scene like the parties in Denmark and Norway !	Okay, that’s good... maybe they’ll come bursting onto the scene like the parties in Denmark or Norway!	0
Love looking at old photographs too .	I love looking at old photographers too.	0
Richard Anthony March 2 , 2014 A Storm is Brewing on the Horizon ?	Richard Anthony March 2, 2014 A Storm is Brewing on The Horizon	0
I first shaved my head when I was 12 ( i 'm 19 now ) but I did it because I hate combing my hair .	I first shaved my head when I was 12 (I'm 19 now) but I did it because I hate cutting my hair.	0
I have n't seen music for this floating around but if you have the sheet music for piano I 'd be happy to get to work on a transcription for you if you can send me a pdf or something .	I have not seen music for this floating around but if you have the sheet music for piano I'd be happy to get to work on a transcription for you if you can send me a pdf or something.	0
It is quite farcical actually .	It is quite Farcical actually.	0
Yes, I have seen that so many times .	Yes, I have saw that so many times.	0
They are out of ideas .	They are off ideas.	0
i want to meet a single girl in alberta that has the same ideas as me , and wants to meet a 26 y old guy.if your out there let me know .	I want to meet a single girl in Alabama who has the same ideas as me, and wants to meet an 26 y old guy.if your out there let me know.	0
Click on the audio player at the link below .	Click on the audio Player at the link below.	0
Take one of the scandinavian flags , and change the color from blue and yellow ( Sweden as an example ) and turn it to green and yellow. lol , it might be decent	Take one of the Scandinavian flags, and change the color from blue and yellow (Sweden as an example) and turn it to green and yellow.	0
Want a libtard to support White Nationalism ?	Want a libtards to support White nationalism?	1
Have you ever seen the `` White Priviledge Checklist '' that these people use ?	Have you ever seen the “White Priviledge Checklist” that these people use?	0
None of those videos play .	None Of These Videos Play.	0
We have two things wrong here , Mexcicans in a White homeland and a Pizza company sending a female in harms way .	We have two things wrong here, Mexicans in a White homeland and a Pizza company sending a woman in harmful way.	1
Racism is as old as time itself , and no one ever admired a groid for anything other than cheap dumb labour .	Racism is as old as time itself, and no one ever admired a grout for anything other than cheap stupid labor.	1
Support the Boy Scouts .	Support the boy scouts.	0
Does this fact reflect on her actual essence as a person ( it could ! ) ?	Does this fact reflect on her actual nature as a person (it could!)?	0
I 've been in this scene for 14 years and it 's the same story every town/state I 've ever been to .	I’ve been in this scene for 14 years and it’s the same story every town/state I’m ever been to.	0
My parents are like this .	My parents were like this.	0
That is persecution .	That is Persecution.	0
oddly i would find it worst if she here black , since Negroes are the most inferior and scum bag humanoid race in our planet .	Strangely I would find it worse if she here black, since Negroes are the most inferior and scum bag humanoid race on our planet.	1
Tight as in good pals ?	Strong as in good pales?	0
they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?	They played this on fox news today.said she went ape schmidt, no pun intended, because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news.........secondly, ive never heard of a sheboon before.a new species, from the chimpout family?	1
I love my beer ! maybe you were drinking liquor I always get crazy on that so I gave it up and now everything is fine .	I love my beer! maybe you were drinking liquor I always get crazy on that so i gave it up and now everything is fine.	0
This one is within jogging distance : Police Shoot , Kill NY Fugitive In Jax Man Shot Several Times In Hail Of Gunfire POSTED : Friday , February 11 , 2011 JACKSONVILLE , Fla.	This one is within jogging distance : Police Shoot, Kill NY Fugitive In Jax Man Shot Severale Times In Hail Of Gunfire POSTED : Friday, February 11, 2011 JACKSONVILLE, Fla.	0
I meet a lot Chechen 's a few weeks back i was shocked to see how light skinned they were and they had light brown hair and blue eyes and had European facial features .	I met a lot of Chechen’s a few weeks ago I was shocked to see how light skinned they were and they had light brown hair and bluish eyes and had European facial features.	0
Yes true It reminds me of this incident Muslim Extremists Abuse Royal Anglian Troops After Afghanistan Return , Barking - London 2010 - YouTube	Yes true It reminds me of this incident Muslim Extremists Abused Royal Anglian Troops After Afghanistan Return, Barking - London 2010 - YouTube	0
I do think abusive parents are worse than gays one .	I think abusive parents are worse that gay one.	1
Yes he is very sick person with identity crisis who need therapy .	Yes he is a very sick person with identity crisis that needs therapy.	0
Encourage others to report all crimes of Criminal Aliens to this site so that they can get an ongoing tally of the whole blasted scene .	Encourage others to report all crimes of Criminal Aliens to this website so that they can get a ongoing count of the entire blasted scene.	0
Consider yourself ignored .	Consider you ignored.	0
And if Rose Powell has anything to do with it , they 'll stay there for a long time .	And if Rose Powell has anything to do with that, they’ll stay there for a long time.	0
I know somebody who wants to perhaps move to Alberta but is wondering if they have the homo agenda in the schools there .	I know someone who wants to move to Alberta but is wondering if they have the homo agenda at the schools there.	1
Charles Burton Barber .	Charles Burtons Barber.	0
I enjoy Classical music .	I enjoy classical music.	0
Only surreptitious and hidden cameras have worked .	Only surreptitious, hidden cameras have worked.	0
one is one too many , i bet all the white girls and wiggers go crazy for the young coon , whichever school you are in , wigggers outnumber metalheads or `` normal '' whites	One is one too many, I bet all the white girls and wiggers go crazy for the young coon, whatever school you are in, wigggers outnumber metalheads or "normal" whites	1
Wow, maybe next time you should leave your little sister at home especially since you live in a highly non-white populated area .	Wow, maybe next time you should leave your little sister at Home especially since you live in a highly non-white populated area.	1
Men det ser ut som om du er litt usikker m.h.t deg selv når du ' frågar ' om nesen din ..........	Men it looks like if you are a little usikker m.h.t deg deg selv når du 'fraggar' om nesen din..........	2
Because there were already two other threads on it .	Because there were already 2 other threads on it.	0
But there are so many things I want to do and see-I want to live my life to its fullest .	But there are so many things I want to do and to see-I want to live my life to its fullest.	0
I personally think she sounds like a strangled cat .	I personally think she sounds like a strangled cat.	0
It was disturbing to read that the Swedish foreign minister was stabbed today .	It was disturbing to read that the Swiss foreign minister was stabbed today.	0
I would willing risk jail time if it meant I could get my hands on them or anyone who does that to a white child .	I would willingly risk jail time if it meant I could get my hands on it or anyone who does that to a white child.	0
Music Lessons .	Music lessons..	0
Right.	right is.	0
Just an example of Our local economy and employment opportunities here .	Just an example of Our Local Economy and Employment Opportunities here.	0
Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .	Let Mother Nature evolve these people naturally because no amount of money or aid is going to drag these “things” into the civilized world where they serve absolutely no purpose.	1
And with that I will bid you all good night .	And with that I’ll bid you all good night.	0
Opening it again for a week ...	Opening it for a week...	0
We'll never give up ... The jews can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...	The Jews can continue to try to open our borders and send their third world minions after the European people but WE WILL NEVER HAVE TO REVENT.	1
I saw the clip too .	I saw that clip too.	0
If you do n't mind a silent film The Birth of a Nation is a must see .	If you don’t mind a silent film The Birth of a nation is a must see.	0
I note one of your other posts was worried because of the delay in your posts showing up - don ; ' t worry about it , it 's just that we have to check your stuff while you are new	I note one of your other posts was worried because of the delay in your posts appearing - don't worry about it, it's just that we have to check your stuff while you are new	0
A British school where none of the students have English as their first language ?	A British school where none of students have English as their first language?	0
The essay itself is chock full o ' helpful hints on info distribution .	The essay itself is shock full of helpful hints on info distribution.	0
Thats pretty similar for me .	That’s pretty similar to me.	0
I have n't had enough teachers of different races to compare that .	I have not had enough teachers of different races to compar that.	0
`` Green Eggs and Ham '' a metaphor for succumbing to peer pressure to try marijuana .	“Green Eggs and Ham” a metaphor for succumbing to peer pressure to attempt marijuana.	0
Lions , Tigers , Cheetahs , etc are all cats but they ai n't the same .	Lions, Tigers, Cheetahs, etc. are all cats but they are not the same.	0
There are many whites out there who would become part of the movement , but know nothing of it !	There are many whites out there who would be part of the movement, but know nothing of it!	0
My Gym teacher told a Lebanese kid that was screwing around during class to go back to his own poor ass country if he wants to screw around .	My gym teacher told a Lebanese kid who was screwing around during class to go back to his own poor ass country if it wants to screw around.	0
To learn more , click here : www.jonasridgeway.com/tech2.html www.spiritual.com.au/astral.html www.astralweb.org www.near-death.com/experiences/cayce01.html www.astralvoyage.com/projection/index.html It would be pretty cool for teachers to tell White kids they go out-of-body every night .	To learn more, click here: www.jonasridgeway.com/tech2.html www.spiritual.com.au/astral.html www.astralweb.org www.near-death.com / experiences/cayce01.html www	0
In Dallas	in Dallas	0
Ghosts , Goblins , etc ...	Ghosts, Goblins and so on.	0
Fast food is not for whites .	Fast food is NOT for white people.	0
Please, feel welcome to learn more about the history of the Macedonian Patriotic Organization , its traditional Bulgarian character and the activities this organization provided for the community and its goals and purposes of today .	Please feel welcome to learn more about the history of the Macedonian Patriotic Organization, its traditional Bulgarian character and the activities this organization provided for the community and its goals and purposes of the day.	0
When I look at the Zimbawee 's Mugabe , I think `` Ape '' or `` Gorilla '' .	When I look at the Zimbabwe’s Mugabe, I think “Ape” or “Gorilla”.	1
hey how ya doin , my buddy showed me this place last night and ive been checkin it out , im getting ready to move to alabama later this month if i can get my yahoo to connect ill send ya a message , might half to log into chat thow .	Hey how ya doin, my boyfriend showed me this place last night and ive been checkin it out, im getting ready to move to alabama later this month if I can get my yahoo to connect ill send ya a message, maybe half to log in chat thow.	0
If your kids is interested in anime , by all means BE CAREFUL at the video store .	If your kids are interested in anime, by all means BE CARE at the video store.	0
Strange how the Swedes were once the most peaceful people in the world , then the Jews make them into liberals who wanted to genocide them selves .	Strange how the Swedes were once the most peaceful people in the world, then the Jews make them into liberals who wanted to genocide them themselves.	1
May they always Rest in Peace , my prayers go out to them .	May they always rest in peace, my prayers go out to them.	0
Humans are the only hosts and victims of V. cholerae , a motile , aerobic organism .	Humans are the only hosts and victims of V-cholerae, a motile, aerobic organism.	0
Check out my sig. for more ideas .	Check out my se. for more ideas.	0
It warms my heart to see that apparently there 's more than just one pro-White organization in San Diego area planning activities !	It warms my heart to see that apparently there’s more than just one pro-White organization in San Diego area plan activities!	0
That type of negroes call your kind of brothas , Uncle Tom .	That kind of Negroes call your kind of brothas, Uncle Tom.	0
A teacher at a Baton Rouge elementary school was arrested just two hours into his first day on the job Tuesday .	A teacher at a Baton Rouge elementary school was detained just two hours into his first day on the job Tuesday.	0
I wasnt going to bother with this thread but I am rapidly coming to the conclusion you can , t read we are NOT C18 , we have nothing to do with them ...... look at post #13 for Christ sake	I wasnt going to bother with this thread but I am quickly coming to the conclusion you can, t read we are NOT C18, we have nothing to do with them...... look at post #13 for Christ sake	0
At the link just below , I 've been urging our brothers and sisters in South Africa to run that message or a similar message on that site every month : Malaysians , Venezuelans , Chinese let White House broadcast their agendas	At the link just below, I’ve been urging our brothers and sisters in South Africa to run that message or a similar message on that site every month: Malaysians, Venezuelans, Chinese let the White House broadcast their agendas.	1
Basically just tell them what they want to hear .	Basically just tell him what he wants to hear.	0
David Allen Snyder , age 26 , died on October 18 , 2009 at his residence in Findlay , Ohio R.I.P. David Allen Snyder Obituary at Coldern Crates Funeral Homes The jury took only about four hours Tuesday afternoon and early evening to convict Cornelius Patterson Junior of the October , 2009 murder of 26-year-old David Snyder in a Jennifer Lane apartment complex where both men lived .	David Allen Snyder, 26, died on October 18, 2009 at his residence in Findlay, Ohio R.I.P. David Allen snyder obituary at Coldern Crates Funeral Homes The jury took only about four hours Tuesday afternoon and early evening to convict Cornelius Patterson Junior of October 2009, the murder of 26-year-old David Snyde in a Jennifer Lane apartment complex where both men lived.	0
Our schools are horrible , all they teach is telling kids to be liberal and respect people of all races and take no pride in your own .	Our schools are horrible, all they teach is telling children to be liberal and respect people of all races and take no pride in the own.	0
Homepage < < Go and check out what your homies are up too .	Home > Go and check out what your homes are up too.	0
Paris is a weekly riot fest .	Paris is a Weekly Riot Party.	0
Milwaukee Wisconsin The Third Weekend In July Every Year !	Milwaukee Wisconsin the third weekend in July every year!	0
Im glad to see this board back in action , whew .	I am glad to see this board back into action, whew.	0
Anyone who 's been to Newark knows that it 's pretty much a third world country .	Anyone who has been to Newark knows that it’s pretty much a third world country.	0
They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .	They take underwater basket weaving courses and they have not worthwhile skills due to angry still my favorite comment.	0
I love Steven Seagal films and I love all Nicolas Cage films , Windtalkers and The Sorcerer 's Apprentice included .	I love Steven Seagal movies and I love all Nicolas Cage films, Windtalkers and The Sorcerer's Apprentice included.	0
#WethePeople #RealAmericans	#Wethepeople #RealAmerican	0
Also another film Wheels of Terror has what appears to be post war tanks in its battle scenes .	Also another film Wheels of Terror has what appears to be post war tankers in its battle scenes.	0
Susan	by Susan →	0
This is my home town .. these people are locals and can help you find what you want ...	This is my home town.. these people are local and can help you find what you want...	0
yeah it just jews stealing stuff from other martial arts. dont worry about it unless they try to recruit you for the mossad	Yes it’s just Jews stealing stuff from other martial arts. don’t worry about it unless they try to recruit you for the mossad.	1
It seems anytime issues like this are highligted in the Irish Media immigrants in the long run end up staying in Ireland .	It seems anytime issues like this are highlighted in the Irish Media immigrants in the long run end up remaining in Ireland.	0
Shocking and outrageous , that is what we all should be feeling. jmho b.e.	Shocking and outrageous, that’s what we all should be feeling.	0
I'm curious too but what happened is still wrong in so many ways , no matter the race of the victim .	I’m curious too but what happened is still wrong in so many respects, regardless of the race of the victim.	0
Behind every avatar is an actual person , and we can even meet .	Behind every avatar is a real person, and we can even meet.	0
I have family there .	I’ve got family there.	0
They almost always choose to identify with blacks more than whites .	They almost always choose to identifying with blacks more than whites.	0
Yes they all know , I have felt this way for year more than I can to think about .	Yes they all know, I have felt this way for a year more than I can think of.	0
Look for Don McAlvany 's `` Revolution and Betrayal '' The terrorist-pig was caught red-handed with tens of thousands of grenades and anti-personnel mines .	Look for Don McAlvany's "Revolution and Betrayal" The terrorist-pig was caught red-handed with tens of thousands of grenades and anti-personel mines.	0
I still have one or two hunting knives from when I used to fish and shoot in case of self defence at home .	I still have one or two hunting knives from when I was used to fish and shoot in case of self-defense at home.	0
Join the Nationalist Coalition http://www.ncoal.com	Join the Nationalist Coalitions http://www.ncoal. com	0
haha, definitly not injuns .	haha, definitely not injury.	0
Kimora Lee Simmons	by Kimora Lee Simons	0
i do this and the looks i get out of disgust are regular but i happily carry on walking and laugh them off , they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them ?	I do this and the looks I get out of disgust are regular but I happily carry on walking and laughing them off, they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them?	0
hello.	and hello	0
I have been able to become more active than ever because of this site .	I have been able to become even more active than ever because of this website.	0
In case they start grabbing guns .	In case they begin to grab guns.	0
http://www.radioireland.ie/lastword/19112004-17.wmv	http://www.radioireland.ie / lastword /19112004-17.wmv	0
Depending on which part of Scotland you 're going to I might have some bad news for you about the Kaffirs .	Depending on which part of Scotland you’re going to I might have some bad news for you about the kaffirs.	1
I 'm all alone and looking for companionship , where 'd all the good girls go ? send me a pm or email at skin14 _ 88@hotmail.com	I'm all alone and looking for companionship, where'd all the good girls go? send me a pm or email at skin14 _ 88@hotmail.com	0
right on !! i want a lil ' rotweiler , when i het one his/her name will be schatzi !! aww cause it will be my sweetie !!! - val ! ( i love that smiley ! )	right on!! i want a lil'rotweiler, when i het one his/her name will be shatzie!! aww cause it will be my sweetie!!! - val! ( i love that smiley! )	0
Up until then we were part of Europe .	Until then, we were part of the European Union.	0
David Stein/Cole on the Holocaust and historical revision - YouTube	David Stein/Cole on the holocaust and historical revision - Youtube	0
They probably arrest them and throw them in jail so that they will be raped and infected with AIDS .	They probably arrest them and throw them in jail, so that they will be raped and infected with AIDS.	1
It has happened up to the late 90 's with Hong Kong .	It has happened until the late 90s with Hong Kong.	0
They are completely different from us and should not be living within sight of us , go back to Africa and die out .	They are completely different from us and should not be living in sight of us, go back to Africa and die out.	1
Though I might go to trade school to learn some basic carpentry skills .	Although I might go to trade school to learn some basics carpentry skills.	0
We have a good reason for it to but you people want to get in the way of it .	We have a good reason for it, but you people want to get in the way of that.	0
Absolutely.	Absolutely.	0
im new on here and was just wanderin if any ladies are intrested i a good oel southernman from tennessee send me a messege .	I am new on here and was just wanderin if any ladies are intrested I a good oel southernman from tenessee send me a messege.	0
The black churches show all black faces on their billboards .	The black churches show all the black faces on their billbounds.	0
And I would add to that one of the distinctive features of malls are the food courts where we can witness Americans and their eating disorders on display .	And I would add to that one of the distinctive features of malls are food courts where we can witness Americans and their eating disorders on display.	0
I was expecting more location-type questions .	I was expecting a lot more location-type.	0
Queens78322, I am on my way to meet with a few member of National Alliance and I will present your speech to them .	Queens78322, I am on my way to meet with a couple of members of the National Alliance and I will present your speech to them.	0
They 're just making it really expensive on purpose and making a panic .	They’re just making it really expensive on intention and making a panic.	0
Wasn't meaning yo be hard on you or Knightrider1961 .	Wasn't it meant I'm hard on you or Knightrider1961.	0
We have simply had enough .	We simply had enough.	0
As it 's very common among most animal species as well as just females are generally considered to be more necassary if you will .	As it’s very common among most animal species as well as just females are usually considered to be more necassary if you want.	0
Migrants living in fear after racist bomb attack on Poles - Northern Ireland , Local & National - Belfasttelegraph.co.uk They 're threatening to leave , we 're doomed !!!	Migrants living in fear after racist bomb attack on Poles - Northern Ireland, Local & National - Belfasttelegraph.co.uk They're threatening to leave, we're doomed!!!	1
I find that surprising , since Finland after all once conquered Sweden , and ockupied it for several hundred years .	I find that surprising, since Finland after all once conquered Sweden, and occupied it for several hundred years.	0
Twp .	by Tw.	0
Its gone full retard now .	It has gone full delay now.	0
There's so many good choices it 's hard to pick just one all time favorite .	There are so many good choices it's hard to choose just one all time favorite.	0
I was brought up to believe that ladies do not use such language	I was raised to believe that ladies don’t use such language.	0
Zdrowie !	and health!	0
This is your only choice , White man !	This is your choice, white man!	0
The solution is simple .	The Solution is Simple.	0
It seems to me like you along with this post belong on the General Rants forum .	It seems to me like you along with that post belong on the General Rants forum.	0
Funny part was that just when they were singing the only song that was in English , it started to rain and lighting bolt striked into TV antenna that was up just next to the stage - it was blackout for 1 minute and picture came back just when they were finishing that song .	The funny part was that just when they were singing the only song that was in English, it started to rain and lighting bolt struck into the TV antenna that was up just next to the stage – it was blackout for 1 minute and picture came back just when you were finishing that song.	0
Careful man , People on SF do n't like Asians bashing .	Careful man, People on SF don’t like Asians bashing.	0
Like the `` white '' -African ( what the hell is her name ) ..	Like the “white” African (what the hell is her name)..	0
Welcome to Stormfront .	Welcome to the Stormfront.	0
so is tom still rambling on about putting up machine guns in the city centre ? lol and that sites great al making all wn look like terrorists.so tell us all of some of the irms activism so far ?	So is tom still rambling on about putting up machine guns in the city center? lol and that sites great al making all wn look like terrorists.so tell us all of some of the irms aktivism so far?	0
We distribute propaganda , educate people , help whites , employ whites , post online , network , keep our neighborhoods safe , etc ...	We distribute propaganda, educate people, help whites, employ whites, post online, network, keep our neighborhoods safe, etc.	0
I do n't look down on these degrees as much as I used to .	I don’t look down on these degrees as much like I used to.	0
It just goes to show that the IRA are just criminals and not freedom fighters as they claim .	It just goes to show that the IRA are just criminal and not freedom fighters as they claim.	1
i saw it on opp.now i know what your name stands for.congrats you have a nice looking boyfriend.i read opp once and awhile to see if they took my pic off of here yet and put it on there .	I saw it on opp.now I know what your name stands for. congratulations you have a nice looking boyfriend.i read opp once and a while to see if they took my pic off of here yet and put it on there.	0
In the Great War white men fought with heavy weapons .	During the Great War, white men fought with heavy weaponry.	0
I had an Irish boyfriend for 3 years once and he used to laugh about how in ireland you never saw black people .I guess things have changed a lot in 10 odd years	I had an Irish boyfriend for 3 years once and he used to laugh about the way in Ireland you never saw black people.	0
And they learn to socialize with all ages of people when we are out and about going to museums or whatnot .	And they learn to socialize with people of all ages when we are out and about going to museums or what not.	0
Agreed.	Agreeed	0
just wanted to give this a bump up. we have had a few good people coming to our weekly get together and would like to encourage anyone else interested in meeting and networking with us here in Calgary to feel free to pm me .	We have had a few good people coming to our weekly get together and would like to encourage anyone else interested in meeting and network with us here in Calgary to feel free to pm me.	0
I mean seriously , this is farcical .	I mean seriously, this is farcical.	0
I know we have to be polite , but come on , we do n't have to lie ...	I know we have to be polite, but come on, we don’t have to lie...	0
Feel free to point out the intelligence in your claim that Germans have achieved nothing .	Feel free to point out the intelligence of your claim that the Germans have achieved nothing.	0
And still water ends up on the top and oil on the bottom .	And still water ends up at the top and oil at the bottom.	0
Frontline : The Confessions FRONTLINE `` The Confessions '' | Sneak Peek 1 : Recording a Confession | PBS - YouTube FRONTLINE `` The Confessions '' | Sneak Peek 2 : Finding a Lawyer | PBS - YouTube In `` The Confessions , '' FRONTLINE producer Ofra Bikel investigates the conviction of four Navy sailors for the rape and murder of a Norfolk , Va. , woman in 1997 .	Frontline: The Confessions FRONTLINE ``The Confessons '', FRONTline producer Ofra Bikel investigates the conviction of four Navy sailors for the rape and murder of a Norfolk, Va., woman in 1997.	0
I can honestly say that I have minority friends , and would n't hesitate to deal with the harsh reality that they must be deported .	I can honestly say that I have minority friends, and would not hesitate to deal with the harsh reality that they must be deported.	1
Jewish unfortunately .	Jewish for sure.	1
Woodstock is flanked by multicultural hell London and multicultural hell Kitchener , its a hopeless cause .	Woodstock is flanked by multicultural hell London, and multicultural hell Kitchener, its hopeless cause.	0
Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor .	Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownie, drank orange juice, surfed porn websites and loaded the victim’s car with bottles of liquor.	0
Yeah, she 's gonna end up just like the last hoe bag that got involved with the same chimp .	Yeah, she’s gonna end up just like the last hoe bag that gets involved with the same chimp.	1
She could just move to the Christian part of Nigeria where there is no Sharia law .	She could just move to the Christian part Of Nigeria Where There Is No Sharia Law.	0
So how do they pass on their kosher values to their kids , despite sending them to public shools ?	So how do they pass on their kosher values on to their children, despite sending them to public schools?	0
This is the one my neighbors have .	This is what my neighbors have.	0
The Knights Of The Ku Klux Klan Youth Corps Just click on these words in Red !	The Knights of the Ku Klux Klan Youth Corps Just click these words in Red!	0
They will spend 40k plus a year on elementary , middle school , and high school educations all the while crying about poor conditions for non-Whites .	They will spend 40k plus a year on elementary, middle school, and high school education all the while crying about poor conditions for non-whites.	0
Hopefully in a few years you can alter your life style somewhat and hope to be able to bring down your blood pressure naturally .	Hopefully in a few years you can change your lifestyle somewhat and hope to be able to bring down your blood pressure naturalmente.	0
Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?	So why not simply copy this text ( & links ) and stick it into the description box of your YouTube videos?	0
Their best songs are Rule the World , Grateful Man , and Rahowa .	Their best songs are Rule the world, Grateful Man, and Rahowa.	0
White speech is Hate ....	White speeches are hate.	0
That is correct , White men with guns built America , and it will likely take White men with guns to take it back .	That is correct, White men with guns built America, and it will likely take White men and guns to take it back.	0
I do n't know how true this is , but I 've heard to pick number two for french because they speak better english than picking one for english and getting who knows what pretending to speak English	I don’t know how true this is, but I’ve heard to pick number two for French because they speak better English than picking one for English and getting who knows what pretending to speak English.	0
Hello Everyone on Stormfront Have heard a lot of good things about this forum so I have decided to take the plunge .	Hello everyone on Stormfront Have heard a lot of good things about this forums so I have decided to take the dungeon.	0
14words mikkke14	14 words by mikkke	0
88 Kelly 2056	by Kelly 2055	0
